,count,PointName,Lng,Lat,geometry
0,9874.714285714286,湘湖站,120.22981537502,30.1700878254532,POINT (120.22981537502 30.1700878254532)
1,5662.0,滨康路站,120.226336390983,30.1860545608657,POINT (120.226336390983 30.1860545608657)
2,13445.142857142857,西兴站,120.216258099892,30.1895616834872,POINT (120.216258099892 30.1895616834872)
3,11112.714285714286,滨和路站,120.213093625508,30.2020885913343,POINT (120.213093625508 30.2020885913343)
4,22668.85714285714,江陵路站,120.212034215561,30.2117743539236,POINT (120.212034215561 30.2117743539236)
5,13831.57142857143,近江站,120.193327248838,30.2332798549148,POINT (120.193327248838 30.2332798549148)
6,10739.142857142857,婺江路站,120.186256668086,30.2393881368191,POINT (120.186256668086 30.2393881368191)
7,30703.14285714286,城站,120.176391426895,30.2468748066867,POINT (120.176391426895 30.2468748066867)
8,27670.428571428572,定安路站,120.163075251244,30.2483424668111,POINT (120.163075251244 30.2483424668111)
9,64923.142857142855,龙翔桥站,120.159340159198,30.2571088560459,POINT (120.159340159198 30.2571088560459)
10,31569.714285714286,凤起路A站,120.159037735963,30.2649086058004,POINT (120.159037735963 30.2649086058004)
11,28785.14285714286,武林广场站,120.159702183815,30.2747413798871,POINT (120.159702183815 30.2747413798871)
12,21076.0,西湖文化广场站,120.161039724402,30.2823877009058,POINT (120.161039724402 30.2823877009058)
13,17454.571428571428,打铁关站,120.17243229919,30.2876026492632,POINT (120.17243229919 30.2876026492632)
14,17582.14285714286,闸弄口站,120.187811435107,30.2868612726967,POINT (120.187811435107 30.2868612726967)
15,108707.28571428571,火车东站,120.208501356085,30.2934327818258,POINT (120.208501356085 30.2934327818258)
16,17887.285714285714,彭埠站,120.218960747062,30.2964615372383,POINT (120.218960747062 30.2964615372383)
17,4994.285714285715,七堡站,120.236671982692,30.3025071734294,POINT (120.236671982692 30.3025071734294)
18,12197.285714285714,九和路站,120.247918789399,30.3080429513156,POINT (120.247918789399 30.3080429513156)
19,9152.285714285714,九堡站,120.2618538871,30.3101295583395,POINT (120.2618538871 30.3101295583395)
20,26292.0,客运中心站,120.274138499637,30.3134779093804,POINT (120.274138499637 30.3134779093804)
21,5149.285714285715,下沙西站,120.307958030223,30.3123633719221,POINT (120.307958030223 30.3123633719221)
22,22836.85714285714,金沙湖站,120.321009805237,30.3117754598497,POINT (120.321009805237 30.3117754598497)
23,10222.42857142857,高沙路站,120.330537066211,30.3116822011198,POINT (120.330537066211 30.3116822011198)
24,20778.714285714286,文泽路站,120.343863291048,30.3123894737378,POINT (120.343863291048 30.3123894737378)
25,15745.857142857143,文海南路站,120.371591568249,30.3131397204831,POINT (120.371591568249 30.3131397204831)
26,9674.857142857143,云水站,120.377265508439,30.3048321030041,POINT (120.377265508439 30.3048321030041)
27,8646.857142857143,下沙江滨站,120.377311173759,30.2899227062873,POINT (120.377311173759 30.2899227062873)
28,3846.4285714285716,乔司南站,120.286394682031,30.3299936474155,POINT (120.286394682031 30.3299936474155)
29,12073.142857142857,乔司站,120.280786691721,30.3491914698003,POINT (120.280786691721 30.3491914698003)
30,8346.0,翁梅站,120.29058362336,30.3673326626754,POINT (120.29058362336 30.3673326626754)
31,3762.0,余杭高铁站,120.293191375515,30.3844184649858,POINT (120.293191375515 30.3844184649858)
32,7305.428571428572,南苑站,120.298045438036,30.3975044583537,POINT (120.298045438036 30.3975044583537)
33,21187.85714285714,临平站,120.299348818482,30.4079730572606,POINT (120.299348818482 30.4079730572606)
34,7309.428571428572,朝阳站,120.263681378548,30.1246216456043,POINT (120.263681378548 30.1246216456043)
35,3658.5714285714284,曹家桥站,120.263412275538,30.1370702501161,POINT (120.263412275538 30.1370702501161)
36,6048.857142857143,潘水站,120.263164806005,30.151373126597,POINT (120.263164806005 30.151373126597)
37,10123.0,人民路站,120.262927269171,30.161842138203,POINT (120.262927269171 30.161842138203)
38,12551.285714285714,杭发厂站,120.262581210917,30.1733334861669,POINT (120.262581210917 30.1733334861669)
39,12206.0,人民广场站,120.26238970505,30.1823171226812,POINT (120.26238970505 30.1823171226812)
40,4893.428571428572,建设一路站,120.26207095413,30.196487821537,POINT (120.26207095413 30.196487821537)
41,8282.57142857143,建设三路站,120.263805567178,30.2069254916357,POINT (120.263805567178 30.2069254916357)
42,10633.857142857143,振宁路站,120.264839978572,30.219668420657,POINT (120.264839978572 30.219668420657)
43,8729.857142857143,飞虹路站,120.258299129192,30.2337400736055,POINT (120.258299129192 30.2337400736055)
44,6371.857142857143,盈丰路站,120.247810502888,30.2394605552315,POINT (120.247810502888 30.2394605552315)
45,8449.285714285714,钱江世纪城站,120.239518799171,30.2430628318224,POINT (120.239518799171 30.2430628318224)
46,14919.0,钱江路站,120.209263298558,30.258045102712,POINT (120.209263298558 30.258045102712)
47,12417.57142857143,庆春广场站,120.200098547185,30.2600090511501,POINT (120.200098547185 30.2600090511501)
48,9350.142857142857,庆菱路站,120.188508136851,30.2601327456273,POINT (120.188508136851 30.2601327456273)
49,11331.285714285714,建国北路站,120.176546898553,30.2669547176882,POINT (120.176546898553 30.2669547176882)
50,9680.285714285714,中河北路站,120.167438490106,30.2669908714451,POINT (120.167438490106 30.2669908714451)
51,11149.857142857143,凤起路B站,120.158206867741,30.2661959820355,POINT (120.158206867741 30.2661959820355)
52,11001.42857142857,武林门站,120.150425569121,30.2727929664243,POINT (120.150425569121 30.2727929664243)
53,12445.285714285714,沈塘桥站,120.145345596736,30.2828427824387,POINT (120.145345596736 30.2828427824387)
54,11971.142857142857,学院路站,120.124902748337,30.2849976611279,POINT (120.124902748337 30.2849976611279)
